data_name,total_tokens,average_tokens_per_node,count,mean,std,min,25%,50%,75%,max,data size
ogbn-arxiv,33570044,198.23697466089536,169343.0,198.23697466089536,70.30063829006542,20.0,150.0,192.0,239.0,2214.0,190.27217864990234
citationv8,178375105,161.1688768738271,1106759.0,161.1688768738271,61.69674281585514,4.0,117.0,156.0,200.0,774.0,1034.1782178878784
data_name,total_tokens,average_tokens_per_node,count,mean,std,min,25%,50%,75%,max,data size

pwc_small,22716,162.25714285714287,140.0,162.25714285714287,41.861259614662906,79.0,131.75,162.5,187.0,293.0,0.13957881927490234
cora,448024,165.44460856720826,2708.0,165.44460856720826,89.06607064152792,8.0,113.0,153.0,202.0,929.0,2.5711889266967773
pubmed,5577970,282.9015570320028,19717.0,282.9015570320028,88.72359402807707,4.0,226.0,285.0,333.0,994.0,31.01186752319336
arxiv_2023,9699799,209.96144854755616,46198.0,209.96144854755616,65.57058039941153,7.0,172.0,209.0,249.0,1617.0,57.26617431640625
pwc_medium,16544569,190.6166138602454,86795.0,190.6166138602454,56.03207195502438,16.0,151.0,186.0,226.0,610.0,99.58103084564209
pwc_large,55918675,198.89338037837587,281149.0,198.89338037837587,58.761020713950394,13.0,158.0,196.0,237.0,644.0,332.6548795700073
